Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDE33,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.086906,19.35,78.86,4.3
Regular,FDG08,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.289523,13.15,172.08,4.3
Regular,FDQ32,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.081605,17.85,122.34,4.3
Regular,FDX56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.129669,17.1,206.86,4.3
Regular,FDX03,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.106971,15.85,44.77,4.3
Regular,FDK58,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.078759,11.35,103.0,4.3
Regular,FDL09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.224175,19.6,168.88,4.3
Regular,FDM22,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.073463,14.0,52.36,4.3
Regular,FDV10,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.116794,7.645,41.01,4.3
Low Fat,NCJ54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.060067,9.895,230.66,4.3
Low Fat,NCY30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025953,20.25,179.6,4.3
Low Fat,FDW24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037497,6.8,49.9,4.3
Low Fat,FDT36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.111275,12.3,35.09,4.3
Low Fat,FDS60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032449,20.85,177.87,4.3
Low Fat,FDU23,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.071069,12.15,164.72,4.3
Low Fat,FDW47,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.046375,15.0,122.84,4.3
Low Fat,FDV49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025827,10.0,263.22,4.3
Low Fat,DRI03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022704,6.03,177.9,4.3
Low Fat,FDU38,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08255,10.8,193.75,4.3
Low Fat,FDR02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022066,16.7,110.59,4.3
Low Fat,FDU14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.034753,17.75,248.78,4.3
Low Fat,FDK28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06559,5.695,258.26,4.3
Low Fat,FDR04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022567,7.075,97.31,4.3
Low Fat,FDL08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.049719,10.8,246.71,4.3
Low Fat,FDG57,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.072298,14.7,48.2,4.3
Low Fat,FDF32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073719,16.35,198.54,4.3
Low Fat,FDL20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073719,17.1,111.99,4.3
Low Fat,DRK35,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.071846,8.365,37.95,4.3
Low Fat,DRP35,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.090867,18.85,127.33,4.3
Low Fat,NCN05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01446,8.235,181.9,4.3
Low Fat,NCK53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037581,11.6,98.9,4.3
Low Fat,NCO41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018849,12.5,96.74,4.3
Low Fat,NCR41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018024,17.85,95.91,4.3
Low Fat,NCT42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.024887,5.88,147.54,4.3
Low Fat,NCV54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.064963,11.1,119.11,4.3
Low Fat,NCR06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.006765,12.5,41.71,4.3
Low Fat,NCC07,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023951,19.6,105.7,4.3
Low Fat,NCV30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.065932,20.2,64.85,4.3
Low Fat,NCN42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.014223,20.25,148.94,4.3
Low Fat,NCK19,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.090466,9.8,193.65,4.3
Low Fat,NCL55,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06403,12.15,254.9,4.3
Low Fat,FDV09,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020569,12.1,150.47,4.3
Low Fat,FDH33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.121725,12.85,45.14,4.3
Low Fat,FDK09,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.091763,15.2,228.54,4.3
Low Fat,FDT45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.057313,15.85,53.4,4.3
Low Fat,FDM34,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.067448,19.0,132.96,4.3
Low Fat,DRD12,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.077194,6.96,89.91,4.3
Low Fat,DRE01,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.167155,10.1,241.75,4.3
Low Fat,DRF36,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023577,16.1,192.68,4.3
Low Fat,FDG47,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.069619,12.8,260.33,4.3
Regular,FDP48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.044023,7.52,183.1,4.3
Regular,FDW12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035572,8.315,144.44,4.3
Regular,FDM36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.058731,11.65,171.94,4.3
Regular,FDU12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.075751,15.5,262.86,4.3
Regular,FDS11,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.055559,7.05,224.71,4.3
Regular,FDQ59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.056387,9.8,84.69,4.3
Regular,FDR59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.063864,14.5,262.36,4.3
Regular,FDP59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.056466,20.85,103.66,4.3
Regular,FDN38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.091972,6.615,251.64,4.3
Regular,FDT01,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.184168,13.65,213.79,4.3
Regular,FDY37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026569,17.0,142.05,4.3
Regular,FDZ03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.078787,13.65,184.82,4.3
Regular,FDQ28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.060427,14.0,153.57,4.3
Regular,FDU28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.093918,19.2,189.82,4.3
Regular,FDR32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073719,6.78,227.47,4.3
Regular,FDU19,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.046771,8.77,173.94,4.3
Regular,FDJ44,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.106327,12.3,172.84,4.3
Regular,FDF57,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.058827,14.5,172.24,4.3
Regular,FDD56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.103778,15.2,175.61,4.3
Regular,FDC08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10345,19.0,225.47,4.3
Regular,FDJ55,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023531,12.8,223.54,4.3
Regular,FDR57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023497,5.675,156.13,4.3
Regular,FDU45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035506,15.6,112.45,4.3
Regular,DRA59,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.127928,8.27,184.89,4.3
Regular,FDB35,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.064619,12.3,89.88,4.3
Regular,FDK26,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032177,5.46,185.42,4.3
Low Fat,NCB18,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041375,19.6,89.25,4.3
Low Fat,DRK12,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.042123,9.5,32.09,4.3
Low Fat,FDA48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115107,12.1,222.01,4.3
Low Fat,FDE24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.093652,14.85,141.58,4.3
Low Fat,FDW48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.008558,18.0,79.06,4.3
Low Fat,FDJ50,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02163,8.645,52.0,4.3
Low Fat,FDO38,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072987,17.25,78.9,4.3
Low Fat,FDB28,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.093575,6.615,199.44,4.3
Low Fat,DRG51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.011563,12.1,164.95,4.3
Low Fat,DRE15,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.017821,13.35,75.1,4.3
Low Fat,FDR02,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02211,16.7,110.89,4.3
Low Fat,FDS52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.005486,8.89,99.3,4.3
Low Fat,FDZ40,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.040264,8.935,52.63,4.3
Low Fat,FDM28,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.045296,15.7,181.37,4.3
Low Fat,FDU40,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.03748,20.85,192.75,4.3
Low Fat,DRM59,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.003599,5.88,152.3,4.3
Low Fat,DRK35,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.071992,8.365,38.35,4.3
Low Fat,DRM47,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.043874,9.3,191.08,4.3
Low Fat,DRJ59,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.019412,11.65,40.32,4.3
Low Fat,NCM29,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.017678,11.5,129.26,4.3
Low Fat,NCO41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.018887,12.5,98.84,4.3
Low Fat,NCJ30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.080804,5.82,171.48,4.3
Low Fat,NCG54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.079968,12.1,170.81,4.3
Low Fat,NCY06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.061309,15.25,128.9,4.3
Low Fat,FDP27,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.119693,8.155,188.45,4.3
Low Fat,NCL31,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.120525,7.39,142.25,4.3
Low Fat,NCO02,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.073517,11.15,65.91,4.3
Low Fat,NCL55,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.064792,12.15,254.0,4.3
Low Fat,NCQ43,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.111527,17.75,110.29,4.3
Low Fat,FDX21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.085138,7.05,108.69,4.3
Low Fat,FDQ34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.162572,10.85,107.46,4.3
Low Fat,FDA46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.117874,13.6,193.61,4.3
Low Fat,FDL45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.037764,15.6,124.97,4.3
Low Fat,FDO34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03,17.7,169.78,4.3
Low Fat,FDP10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.12835,19.0,106.56,4.3
Low Fat,DRE48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.017361,8.43,196.28,4.3
Low Fat,DRK12,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041971,9.5,33.39,4.3
Low Fat,FDK36,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.007256,7.09,50.4,4.3
Low Fat,FDV36,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.026451,18.7,124.9,4.3
Low Fat,FDP38,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032284,10.1,52.2,4.3
Low Fat,FDX37,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.063386,16.2,98.17,4.3
Low Fat,DRG15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.07717,6.13,63.05,4.3
Low Fat,FDD53,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.044473,16.2,43.35,4.3
Low Fat,FDV40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.069804,17.35,72.2,4.3
Low Fat,FDS55,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.081623,7.02,148.07,4.3
Low Fat,FDV32,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08921,7.785,64.25,4.3
Low Fat,FDG45,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.12876,8.1,213.79,4.3
Low Fat,FDS20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.054172,8.85,183.93,4.3
Low Fat,FDE32,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.049035,20.7,39.95,4.3
Low Fat,DRH23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.171282,14.65,54.06,4.3
Low Fat,DRI23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.137973,18.85,158.46,4.3
Low Fat,NCU17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.093409,5.32,101.27,4.3
Low Fat,NCO05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046823,7.27,99.34,4.3
Low Fat,NCM17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.071538,7.93,44.51,4.3
Low Fat,NCO53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.176175,16.2,184.06,4.3
Low Fat,NCR41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.018126,17.85,94.91,4.3
Low Fat,NCU42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.019617,9.0,169.65,4.3
Low Fat,NCZ42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.011352,10.5,236.52,4.3
Low Fat,NCV06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.067059,11.3,194.05,4.3
Low Fat,NCM30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.067676,19.1,40.88,4.3
Low Fat,FDK43,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.026993,9.8,127.3,4.3
Low Fat,FDT21,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.020507,7.42,249.71,4.3
Low Fat,FDW34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.03578,9.6,241.32,4.3
Low Fat,FDQ34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.16316,10.85,107.46,4.3
Low Fat,FDK34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.038745,13.35,239.36,4.3
Low Fat,FDL45,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.037901,15.6,124.17,4.3
Low Fat,FDM33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.088216,15.6,220.18,4.3
Low Fat,DRD37,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.01392,9.8,45.01,4.3
Low Fat,DRK13,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.115819,11.8,198.31,4.3
Low Fat,DRF13,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.02995,12.1,146.34,4.3
Low Fat,DRB25,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.069853,12.3,107.49,4.3
Low Fat,DRJ13,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.063246,12.65,159.26,4.3
Low Fat,DRG13,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.037396,17.25,165.65,4.3
Regular,FDY47,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.054595,8.6,130.53,4.3
Regular,FDW02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.076701,4.805,123.97,4.3
Regular,FDY15,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.171174,18.25,156.46,4.3
Regular,FDD40,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.014823,20.25,190.72,4.3
Regular,FDY04,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.042563,17.7,165.02,4.3
Regular,FDU16,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.069804,19.25,82.59,4.3
Regular,FDY08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.171422,9.395,139.18,4.3
Regular,FDX51,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.022103,9.5,194.75,4.3
Regular,FDX03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.06122,15.85,45.67,4.3
Regular,FDN46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.144925,7.21,100.83,4.3
Regular,FDM09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.086106,11.15,167.88,4.3
Regular,FDG34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.037647,11.5,107.53,4.3
Regular,FDS34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.076915,19.35,114.85,4.3
Regular,FDE36,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.042009,5.26,162.69,4.3
Regular,FDM24,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.079776,6.135,152.84,4.3
Regular,FDY11,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.029728,6.71,66.61,4.3
Regular,FDZ35,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.022404,9.6,102.5,4.3
Regular,FDY49,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.01208,17.2,164.42,4.3
Regular,FDE51,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.097013,5.925,42.91,4.3
Regular,FDC03,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.072253,8.575,196.58,4.3
Regular,FDC51,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.009676,10.895,122.87,4.3
Regular,FDY38,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.119851,13.6,234.53,4.3
Regular,FDS28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.082868,8.18,58.56,4.3
Regular,FDE41,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.064376,9.195,83.16,4.3
Regular,FDW52,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.037735,14.0,166.45,4.3
Regular,FDV44,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04007,8.365,190.72,4.3
Regular,FDH20,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.073719,16.1,98.44,4.3
Regular,FDJ27,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.122565,17.7,103.87,4.3
Regular,FDS45,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.029663,5.175,105.26,4.3
Regular,FDP21,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025886,7.42,189.19,4.3
Regular,FDZ57,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.037978,10.0,128.7,4.3
Regular,FDU46,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.011189,10.3,86.65,4.3
Regular,FDB58,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.013573,10.5,143.22,4.3
Regular,FDU21,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.077154,11.8,35.76,4.3
Regular,FDW09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.026067,13.65,78.83,4.3
Regular,FDJ58,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.105892,15.6,172.68,4.3
Regular,FDD10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.046281,20.6,177.43,4.3
Low Fat,FDG26,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.042736,18.85,255.93,4.3
Low Fat,FDI19,Meat,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.06536,15.1,244.25,4.3
Regular,FDB26,Canned,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.031444,14.0,53.76,4.3
Low Fat,FDQ13,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01064,11.1,84.19,4.3
Low Fat,FDV59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048018,13.35,219.62,4.3
Low Fat,FDV47,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054197,17.1,83.56,4.3
Low Fat,FDW49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.082537,19.5,177.2,4.3
Low Fat,FDY50,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.130931,5.8,89.92,4.3
Low Fat,DRG15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.076721,6.13,59.45,4.3
Low Fat,FDB15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.136785,10.895,265.26,4.3
Low Fat,FDW50,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.075564,13.1,168.12,4.3
Low Fat,FDA50,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.087159,16.25,95.14,4.3
Low Fat,FDN40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08644,5.88,155.4,4.3
Low Fat,FDS52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.005473,8.89,100.5,4.3
Low Fat,FDB08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.073719,6.055,162.36,4.3
Low Fat,FDO32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.120521,6.36,45.91,4.3
Low Fat,FDC56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.121498,7.72,119.74,4.3
Low Fat,FDD08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.035348,8.3,38.05,4.3
Low Fat,FDC20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.073719,10.65,57.13,4.3
Low Fat,FDL08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04971,10.8,246.81,4.3
Low Fat,FDS43,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.040507,11.65,186.92,4.3
Low Fat,FDT08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.049209,13.65,150.0,4.3
Low Fat,DRQ35,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.042283,9.3,125.44,4.3
Low Fat,DRP35,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09085,18.85,126.63,4.3
Low Fat,NCM05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.059836,6.825,264.32,4.3
Low Fat,NCX05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.097044,15.2,116.85,4.3
Low Fat,NCW41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015447,18.0,159.26,4.3
Low Fat,NCV18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.105226,6.775,84.22,4.3
Low Fat,NCS06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.031731,7.935,261.09,4.3
Low Fat,NCN18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.064963,8.895,111.95,4.3
Low Fat,NCU42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.019503,9.0,169.45,4.3
Low Fat,NCN30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01699,16.35,98.54,4.3
Low Fat,NCL18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.167552,18.85,193.11,4.3
Low Fat,FDK55,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025757,18.5,87.22,4.3
Low Fat,FDN27,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.039555,20.85,116.88,4.3
Low Fat,FDJ45,Seafood,2017,OUT035,Tier 2,Small,Supermarket Type1,0.073397,17.75,35.12,4.3
Low Fat,FDT21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020388,7.42,247.11,4.3
Low Fat,FDC58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.041934,10.195,44.64,4.3
Low Fat,FDH33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.121702,12.85,42.74,4.3
Low Fat,FDE46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015767,18.6,152.94,4.3
Low Fat,FDO58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03957,19.6,165.95,4.3
Low Fat,DRJ13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.062878,12.65,160.96,4.3
Low Fat,DRI49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.183473,14.15,82.03,4.3
Low Fat,DRH25,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.069264,18.7,52.23,4.3
Regular,FDY24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.074331,4.88,53.13,4.3
